2017CS50521_2017CS10389\t
2017CS50521_2017CS10389\t10.12
2017CS50521_2017CS10389\t10.12
2017CS50521_2017CS10389\t0.11
2017CS50521_2017CS10389\t0.07
2017CS50521_2017CS10389\t10.11
2017CS50521_2017CS10389\t0.0
